id,source_url,in_reply_to_user_id,source,in_reply_to_status_id,in_reply_to_user_id_str,favorite_count,id_str,lang,in_reply_to_screen_name,in_reply_to_status_id_str,retweet_count,text,user,author
1.31752E+18,https://about.twitter.com/products/tweetdeck,,TweetDeck,,,0,1317521900113899520,en,,,152,"RT @BBCSport: FT: Exeter 31-27 Racing 

From the Championship, to champions of Europe in 10 years.

Exeter Chiefs, what a ride it has been!…",BBCBreaking,BBCBreaking
1.31712E+18,http://www.socialflow.com,,SocialFlow,,,1385,1317122112788758530,en,,,327,"Boris Johnson says Manchester Covid spread is ""grave"" and he ""may need to intervene"" if new measures are not agreed https://t.co/QNt1px8a26",BBCBreaking,BBCBreaking
1.31678E+18,http://www.socialflow.com,,SocialFlow,,,1604,1316775692504305664,en,,,576,"Travellers returning to UK from Italy will have to self-isolate for two weeks as of Sunday at 4am, government says https://t.co/G4wsQE56bi",BBCBreaking,BBCBreaking
1.31666E+18,http://www.socialflow.com,,SocialFlow,,,3190,1316664231945736193,en,,,1874,"London will have tougher Covid restrictions from Saturday onwards, moving from Tier 1 to Tier 2, local MPs told… https://t.co/BnOpptR6Fs",BBCBreaking,BBCBreaking
1.31648E+18,http://www.socialflow.com,,SocialFlow,,,1408,1316477712035446787,en,,,367,"Donald and Melania Trump's son Barron, 14, contracted Covid-19 but has since tested negative, first lady says… https://t.co/bbQYkm3B76",BBCBreaking,BBCBreaking
1.31645E+18,http://www.socialflow.com,,SocialFlow,,,2137,1316448103252328457,en,,,1047,"French President Macron announces a 21:00 to 06:00 curfew for Paris and eight other cities, starting on Saturday https://t.co/xdKThAV3IY",BBCBreaking,BBCBreaking
1.31631E+18,http://www.socialflow.com,,SocialFlow,,,1184,1316314607384920067,en,,,359,"School, restaurant and pub closures announced as part of new Northern Ireland coronavirus measures https://t.co/GEJ8StIlVk",BBCBreaking,BBCBreaking
1.3159E+18,http://www.socialflow.com,,SocialFlow,,,1174,1315901921249681408,en,,,394,UK unemployment rate rises to 4.5% in three months to August as pandemic continues to hit jobs… https://t.co/VxKz7CzIgA,BBCBreaking,BBCBreaking
1.31532E+18,https://about.twitter.com/products/tweetdeck,,TweetDeck,,,0,1315319670967341058,en,,,1310,"RT @BBCSport: The King of Clay ??

Rafael Nadal beats Novak Djokovic 6-0 6-2 7-5

It's a record-extending 13th French Open title and record-…",BBCBreaking,BBCBreaking
1.31529E+18,https://about.twitter.com/products/tweetdeck,,TweetDeck,,,0,1315290388845023232,en,,,1446,"RT @BBCSport: LEWIS HAMILTON HAS DONE IT!

HISTORY.

He's equalled Michael Schumacher's record for #F1 race wins!

9??1??

#EifelGP LIVE:…",BBCBreaking,BBCBreaking
1.31472E+18,http://www.socialflow.com,,SocialFlow,,,2178,1314718765205073922,en,,,762,Armenia and Azerbaijan agree ceasefire in Nagorno-Karabakh region after talks in Moscow - Russian foreign minister https://t.co/DLx632jeO9,BBCBreaking,BBCBreaking
1.31468E+18,http://www.socialflow.com,,SocialFlow,,,3767,1314680059777765376,en,,,393,Queen recognises Covid heroes alongside footballer Marcus Rashford and lockdown 'PE teacher' Joe Wicks in delayed b… https://t.co/ryp4rIufoV,BBCBreaking,BBCBreaking
1.31457E+18,https://about.twitter.com/products/tweetdeck,5402612,TweetDeck,1.31457E+18,5402612,531,1314570905323032577,en,BBCBreaking,1314567308707336197,140,“I hope that this provides reassurance and a safety net for people and businesses in advance of what may be a diffi… https://t.co/KV6biXukzH,BBCBreaking,BBCBreaking
1.31457E+18,http://www.socialflow.com,,SocialFlow,,,1446,1314567308707336197,en,,,442,"Workers at firms forced to close by Covid restrictions will get two-thirds of wages paid by UK government, Chancell… https://t.co/WIUhqA4F60",BBCBreaking,BBCBreaking
1.31449E+18,http://www.socialflow.com,,SocialFlow,,,7744,1314491999295279109,en,,,1694,"Nobel Peace Prize for 2020 goes to the UN World Food Programme for its efforts in fighting hunger

https://t.co/uDhjTfXWEd",BBCBreaking,BBCBreaking
1.31445E+18,http://www.socialflow.com,,SocialFlow,,,718,1314446422360707073,en,,,208,"The UK economy expanded by 2.1% in August, below expectations, despite the government's Eat Out to Help Out scheme https://t.co/MQCeiylVjt",BBCBreaking,BBCBreaking
1.31418E+18,http://www.socialflow.com,,SocialFlow,,,3645,1314180596781010944,en,,,791,"""I'm not going to waste my time""

US President Donald Trump refuses to take part in proposed virtual presidential d… https://t.co/4yMuJLqC9H",BBCBreaking,BBCBreaking
1.31386E+18,http://www.socialflow.com,,SocialFlow,,,944,1313864744030343169,en,,,215,"Two ex-British alleged Islamic State militants from so-called ""Beatles"" cell charged in US over deaths of four Amer… https://t.co/sjx3HUJtVO",BBCBreaking,BBCBreaking
1.31385E+18,http://www.socialflow.com,,SocialFlow,,,2059,1313846636850933761,en,,,801,All pubs and restaurants across central Scotland to close under new measures aimed at tackling surge in coronavirus… https://t.co/r8XfJs7eYU,BBCBreaking,BBCBreaking
1.31357E+18,http://www.socialflow.com,,SocialFlow,,,5194,1313572567861653509,en,,,1878,"Guitarist Eddie Van Halen, founder of rock group Van Halen, dies from cancer aged 65 https://t.co/YqkKfn9bTQ",BBCBreaking,BBCBreaking
1.31344E+18,http://www.socialflow.com,,SocialFlow,,,2697,1313436500370096128,en,,,1166,"The Church of England failed to protect children from sexual abuse, and created a culture where abusers ""could hide… https://t.co/zwcuJeVv0Q",BBCBreaking,BBCBreaking
1.31325E+18,http://www.socialflow.com,,SocialFlow,,,981,1313247789372125184,en,,,226,President Trump leaves Walter Reed military hospital to continue Covid-19 treatment at White House https://t.co/3zYoO6sIot,BBCBreaking,BBCBreaking
1.31319E+18,http://www.socialflow.com,,SocialFlow,,,977,1313187717933658112,en,,,177,Donald Trump says he will leave hospital later on Monday - follow our updates https://t.co/JUMdWR8ejH,BBCBreaking,BBCBreaking
1.31314E+18,http://www.socialflow.com,,SocialFlow,,,1719,1313143225356611584,en,,,492,White House press secretary Kayleigh McEnany becomes latest Trump aide to test positive for coronavirus… https://t.co/O5rWEn5tLQ,BBCBreaking,BBCBreaking
1.31279E+18,http://www.socialflow.com,,SocialFlow,,,2322,1312785957117190144,en,,,747,"President Trump being treated with steroid after drop in oxygen level but may leave hospital on Monday, his doctor… https://t.co/xlBijrKtdy",BBCBreaking,BBCBreaking
1.31242E+18,http://www.socialflow.com,,SocialFlow,,,1820,1312420547867934728,en,,,343,"President Trump is ""doing very well"" and is in ""exceptionally good spirits"" after spending the night in hospital, h… https://t.co/Ryv8rQ2FAb",BBCBreaking,BBCBreaking
1.31214E+18,http://www.socialflow.com,,SocialFlow,,,11619,1312141759024046081,en,,,4088,US President Donald Trump is being taken to hospital less than 24 hours after testing positive for coronavirus https://t.co/LUncT9UR8F,BBCBreaking,BBCBreaking
1.31189E+18,http://www.socialflow.com,,SocialFlow,,,13760,1311894882848575488,en,,,5065,Donald Trump and US First Lady test positive for coronavirus https://t.co/NaGVofAKue,BBCBreaking,BBCBreaking
1.31186E+18,http://www.socialflow.com,,SocialFlow,,,1518,1311863032331431937,en,,,454,President Trump says he and his wife will quarantine after close aide Hope Hicks tested positive for coronavirus https://t.co/GrfhIBVUt2,BBCBreaking,BBCBreaking
1.31095E+18,http://www.socialflow.com,,SocialFlow,,,3219,1310948606468386818,en,,,2656,Armenia says one of its fighter jets was shot down by Turkey and the pilot killed amid Nagorno-Karabakh conflict… https://t.co/Ul8N6UOXOE,BBCBreaking,BBCBreaking
1.31095E+18,http://www.socialflow.com,,SocialFlow,,,1423,1310945794569261061,in,,,485,"Kuwait's Emir, Sheikh Sabah al-Sabah, dies aged 91 https://t.co/MxnJtdRAyu",BBCBreaking,BBCBreaking
1.31075E+18,http://www.socialflow.com,,SocialFlow,,,981,1310746905488625664,en,,,609,"Worldwide coronavirus death toll passes one million, according to figures from Johns Hopkins University https://t.co/zmboQiJR62",BBCBreaking,BBCBreaking
1.31025E+18,http://www.socialflow.com,,SocialFlow,,,757,1310251757306613760,en,,,187,"Suspect in murder of Sgt Matiu Ratana is 23-year-old Louis De Zoysa from Norbury, south London, BBC has been told https://t.co/evypktGxzN",BBCBreaking,BBCBreaking
1.30996E+18,http://www.socialflow.com,,SocialFlow,,,1655,1309962658830053388,en,,,468,"US President Donald Trump nominates Amy Coney Barrett, a favourite of social conservatives, to be the new Supreme C… https://t.co/sVSfDO7poF",BBCBreaking,BBCBreaking
1.30957E+18,http://www.socialflow.com,,SocialFlow,,,3575,1309569709503807489,en,,,539,"Tributes paid to ""talented police officer"" Sgt Matt Ratana, 54, shot dead at custody centre in south London https://t.co/5HFmmGv8zV",BBCBreaking,BBCBreaking
